Appliances,lights,T2,T6,T_out,Windspeed,RH_1,T3,RH_6,RH_8,RH_out
60,30,19.2,7.02666666666667,6.6,7.0,47.59666666666671,19.79,84.2566666666667,48.9,92.0
60,30,19.2,6.8333333333333295,6.48333333333333,6.66666666666667,46.69333333333329,19.79,84.06333333333329,48.863333333333294,92.0
50,30,19.2,6.56,6.36666666666667,6.3333333333333295,46.3,19.79,83.1566666666667,48.73,92.0
50,40,19.2,6.43333333333333,6.25,6.0,46.0666666666667,19.79,83.42333333333329,48.59,92.0
60,40,19.2,6.36666666666667,6.133333333333329,5.66666666666667,46.33333333333329,19.79,84.8933333333333,48.59,92.0
50,40,19.2,6.3,6.01666666666667,5.3333333333333295,46.0266666666667,19.79,85.7666666666667,48.59,92.0
60,50,19.2,6.263333333333329,5.9,5.0,45.7666666666667,19.79,86.09,48.59,92.0
60,50,19.2,6.19,5.91666666666667,5.16666666666667,45.56,19.73,86.42333333333329,48.59,91.8333333333333
60,40,19.2,6.1233333333333295,5.93333333333333,5.3333333333333295,45.5975,19.73,87.2266666666667,48.59,91.6666666666667
70,40,19.23,6.19,5.95,5.5,46.09,19.79,87.6266666666667,48.59,91.5
230,70,19.3566666666667,6.19,5.96666666666667,5.66666666666667,45.863333333333294,19.79,87.8666666666667,48.59,91.3333333333333
580,60,19.4266666666667,6.1233333333333295,5.98333333333333,5.8333333333333295,46.3966666666667,19.79,87.9933333333333,48.6333333333333,91.1666666666667
430,50,19.566666666666695,6.1233333333333295,6.0,6.0,48.0,19.89,88.59,48.56,91.0
250,40,19.73,6.0675,6.0,6.0,52.7266666666667,19.89,88.215,48.66666666666671,90.5
100,10,19.8566666666667,5.9,6.0,6.0,55.893333333333295,20.033333333333296,88.1566666666667,49.19333333333329,90.0
100,10,20.033333333333296,5.8,6.0,6.0,53.893333333333295,20.1,88.3666666666667,49.2,89.5
90,10,20.1666666666667,5.72666666666667,6.0,6.0,52.66,20.2,88.15999999999998,49.6333333333333,89.0
70,30,20.2,5.52666666666667,6.0,6.0,53.66,20.2,87.29999999999998,50.0266666666667,88.5
80,30,20.2,5.3333333333333295,6.0,6.0,51.19333333333329,20.2,86.76,50.2,88.0
140,40,20.2,5.3333333333333295,6.0,6.0,49.8,20.1666666666667,87.4633333333333,50.26,87.8333333333333
120,20,20.2,5.46666666666667,6.0,6.0,48.433333333333294,20.1666666666667,87.53,50.23,87.6666666666667
190,40,20.26,5.5,6.0,6.0,47.6333333333333,20.2,86.9566666666667,50.29,87.5
110,40,20.29,5.56,6.0,6.0,47.0633333333333,20.26,86.56333333333329,50.1633333333333,87.3333333333333
110,40,20.3566666666667,5.6233333333333295,6.0,6.0,46.59666666666671,20.29,86.33,50.03,87.1666666666667
110,30,20.4266666666667,5.763333333333329,6.0,6.0,46.06,20.29,86.06333333333329,49.76,87.0
110,20,20.5,5.65666666666667,5.93333333333333,6.0,45.8,20.39,85.59,49.7,87.1666666666667
100,30,20.533333333333296,5.53,5.86666666666667,6.0,45.9,20.39,85.73,49.6333333333333,87.3333333333333
100,20,20.6666666666667,5.43333333333333,5.8,6.0,45.8266666666667,20.39,86.32666666666668,49.433333333333294,87.5
100,20,20.7,5.5,5.73333333333333,6.0,45.69,20.39,86.59999999999998,49.4,87.6666666666667
100,20,20.7,5.59,5.66666666666667,6.0,45.33333333333329,20.39,86.46666666666668,49.3266666666667,87.8333333333333
110,20,20.79,5.59,5.6,6.0,45.1266666666667,20.39,86.325,49.1633333333333,88.0
400,20,20.79,5.65666666666667,5.65,6.16666666666667,44.9666666666667,20.4266666666667,86.2266666666667,49.03,87.8333333333333
400,20,20.89,5.8333333333333295,5.7,6.3333333333333295,44.7666666666667,20.5,85.7666666666667,48.863333333333294,87.6666666666667
390,30,20.963333333333296,5.9,5.75,6.5,44.56,20.5,85.0333333333333,48.863333333333294,87.5
